ID,Task,Number,STAI_Total,Fatigue,Stress,Mental_Demand,Physical_Demand,Frustration,NASA_Total,PSS,NARS_S1,NARS_S2,NARS_S3,Age,Sex,Experience
8.0,MANUAL,0,39.0,2.0,8.0,6.0,6.0,1.0,72,16,9,9,9,26.0,1,1.0
8.0,MANUAL,1,51.0,2.0,13.0,4.0,5.0,1.0,71,16,9,9,9,26.0,1,1.0
8.0,MANUAL,2,42.0,2.0,10.0,4.0,4.0,2.0,72,16,9,9,9,26.0,1,1.0
8.0,MANUAL,3,36.0,1.0,9.0,3.0,3.0,1.0,55,16,9,9,9,26.0,1,1.0
8.0,MANUAL,4,50.0,2.0,12.0,3.0,2.0,4.0,64,16,9,9,9,26.0,1,1.0
8.0,MANUAL,5,36.0,1.0,7.0,3.0,2.0,1.0,22,16,9,9,9,26.0,1,1.0
8.0,MANUAL,6,51.0,2.0,11.0,2.0,3.0,1.0,23,16,9,9,9,26.0,1,1.0
8.0,MANUAL,7,40.0,2.0,10.0,4.0,4.0,3.0,55,16,9,9,9,26.0,1,1.0
8.0,MANUAL,8,41.0,1.0,8.0,3.0,3.0,2.0,62,16,9,9,9,26.0,1,1.0
8.0,MANUAL,9,39.0,2.0,7.0,2.0,3.0,1.0,43,16,9,9,9,26.0,1,1.0
8.0,MANUAL,10,39.0,2.0,10.0,2.0,2.0,2.0,34,16,9,9,9,26.0,1,1.0
8.0,MANUAL,11,40.0,2.0,10.0,4.0,4.0,2.0,53,16,9,9,9,26.0,1,1.0
8.0,MANUAL,12,46.0,3.0,11.0,1.0,2.0,3.0,22,16,9,9,9,26.0,1,1.0
8.0,MANUAL,13,43.0,2.0,10.0,1.0,2.0,3.0,30,16,9,9,9,26.0,1,1.0
8.0,MANUAL,14,39.0,2.0,10.0,3.0,2.0,4.0,18,16,9,9,9,26.0,1,1.0
8.0,COBOT,0,41.0,1.0,8.0,4.0,1.0,2.0,63,16,9,9,9,26.0,1,1.0
8.0,COBOT,1,40.0,1.0,7.0,5.0,1.0,1.0,66,16,9,9,9,26.0,1,1.0
8.0,COBOT,2,37.0,1.0,6.0,4.0,1.0,1.0,60,16,9,9,9,26.0,1,1.0
8.0,COBOT,3,40.0,1.0,8.0,4.0,1.0,2.0,57,16,9,9,9,26.0,1,1.0
8.0,COBOT,4,44.0,1.0,8.0,5.0,1.0,2.0,73,16,9,9,9,26.0,1,1.0
8.0,COBOT,5,38.0,1.0,6.0,4.0,2.0,1.0,55,16,9,9,9,26.0,1,1.0
8.0,COBOT,6,43.0,2.0,10.0,4.0,2.0,1.0,54,16,9,9,9,26.0,1,1.0
8.0,COBOT,7,38.0,1.0,7.0,3.0,1.0,1.0,48,16,9,9,9,26.0,1,1.0
8.0,COBOT,8,36.0,1.0,6.0,2.0,1.0,1.0,38,16,9,9,9,26.0,1,1.0
8.0,COBOT,9,38.0,1.0,6.0,2.0,2.0,1.0,24,16,9,9,9,26.0,1,1.0
8.0,COBOT,10,40.0,2.0,7.0,2.0,3.0,2.0,44,16,9,9,9,26.0,1,1.0
8.0,COBOT,11,40.0,2.0,7.0,2.0,3.0,1.0,45,16,9,9,9,26.0,1,1.0
8.0,COBOT,12,40.0,2.0,7.0,2.0,4.0,2.0,56,16,9,9,9,26.0,1,1.0
8.0,COBOT,13,46.0,3.0,9.0,1.0,3.0,4.0,36,16,9,9,9,26.0,1,1.0
8.0,COBOT,14,40.0,2.0,7.0,2.0,2.0,4.0,44,16,9,9,9,26.0,1,1.0
8.0,STROOP,0,35.0,1.0,8.0,5.0,1.0,4.0,53,16,9,9,9,26.0,1,1.0
8.0,STROOP,1,42.0,1.0,7.0,5.0,1.0,2.0,61,16,9,9,9,26.0,1,1.0
8.0,STROOP,2,57.0,2.0,13.0,5.0,1.0,6.0,71,16,9,9,9,26.0,1,1.0
8.0,STROOP,3,55.0,2.0,14.0,5.0,1.0,7.0,86,16,9,9,9,26.0,1,1.0
2.0,MANUAL,0,45.0,1.0,11.0,6.0,3.0,4.0,52,10,19,13,8,26.0,0,1.0
2.0,MANUAL,1,46.0,1.0,12.0,5.0,3.0,4.0,56,10,19,13,8,26.0,0,1.0
2.0,MANUAL,2,50.0,3.0,14.0,6.0,4.0,5.0,73,10,19,13,8,26.0,0,1.0
2.0,MANUAL,3,54.0,3.0,16.0,6.0,5.0,5.0,74,10,19,13,8,26.0,0,1.0
2.0,MANUAL,4,52.0,3.0,14.0,5.0,5.0,5.0,66,10,19,13,8,26.0,0,1.0
2.0,MANUAL,5,53.0,3.0,13.0,4.0,5.0,6.0,70,10,19,13,8,26.0,0,1.0
2.0,MANUAL,6,55.0,4.0,14.0,5.0,5.0,6.0,71,10,19,13,8,26.0,0,1.0
2.0,MANUAL,7,53.0,3.0,13.0,4.0,5.0,7.0,61,10,19,13,8,26.0,0,1.0
2.0,MANUAL,8,54.0,3.0,15.0,5.0,6.0,7.0,76,10,19,13,8,26.0,0,1.0
2.0,MANUAL,9,43.0,2.0,8.0,3.0,6.0,7.0,65,10,19,13,8,26.0,0,1.0
2.0,MANUAL,10,43.0,2.0,8.0,4.0,6.0,7.0,63,10,19,13,8,26.0,0,1.0
2.0,MANUAL,11,40.0,1.0,6.0,3.0,5.0,7.0,65,10,19,13,8,26.0,0,1.0
2.0,MANUAL,12,43.0,2.0,8.0,2.0,6.0,7.0,67,10,19,13,8,26.0,0,1.0
2.0,MANUAL,13,43.0,1.0,7.0,3.0,6.0,7.0,65,10,19,13,8,26.0,0,1.0
2.0,COBOT,0,40.0,1.0,7.0,3.0,3.0,1.0,31,10,19,13,8,26.0,0,1.0
2.0,COBOT,1,43.0,3.0,8.0,4.0,4.0,1.0,43,10,19,13,8,26.0,0,1.0
2.0,COBOT,2,40.0,1.0,6.0,4.0,4.0,1.0,40,10,19,13,8,26.0,0,1.0
2.0,COBOT,3,40.0,1.0,6.0,4.0,4.0,2.0,36,10,19,13,8,26.0,0,1.0
2.0,COBOT,4,40.0,1.0,6.0,5.0,4.0,2.0,50,10,19,13,8,26.0,0,1.0
2.0,COBOT,5,40.0,1.0,6.0,4.0,5.0,2.0,44,10,19,13,8,26.0,0,1.0
2.0,COBOT,6,40.0,1.0,6.0,5.0,4.0,2.0,46,10,19,13,8,26.0,0,1.0
2.0,COBOT,7,40.0,1.0,6.0,3.0,5.0,2.0,41,10,19,13,8,26.0,0,1.0
2.0,COBOT,8,40.0,1.0,6.0,3.0,4.0,2.0,34,10,19,13,8,26.0,0,1.0
2.0,COBOT,9,40.0,1.0,6.0,2.0,4.0,2.0,33,10,19,13,8,26.0,0,1.0
2.0,COBOT,10,40.0,1.0,6.0,3.0,3.0,2.0,26,10,19,13,8,26.0,0,1.0
2.0,COBOT,11,42.0,1.0,7.0,5.0,3.0,2.0,36,10,19,13,8,26.0,0,1.0
2.0,COBOT,12,41.0,1.0,7.0,5.0,4.0,2.0,44,10,19,13,8,26.0,0,1.0
2.0,COBOT,13,45.0,2.0,10.0,5.0,5.0,3.0,54,10,19,13,8,26.0,0,1.0
2.0,COBOT,14,48.0,3.0,11.0,6.0,5.0,2.0,65,10,19,13,8,26.0,0,1.0
2.0,STROOP,0,44.0,1.0,10.0,6.0,1.0,2.0,65,10,19,13,8,26.0,0,1.0
2.0,STROOP,1,41.0,1.0,10.0,6.0,2.0,5.0,71,10,19,13,8,26.0,0,1.0
2.0,STROOP,2,34.0,1.0,6.0,5.0,1.0,1.0,38,10,19,13,8,26.0,0,1.0
2.0,STROOP,3,42.0,2.0,10.0,5.0,2.0,4.0,64,10,19,13,8,26.0,0,1.0
6.0,MANUAL,0,51.0,2.0,11.0,3.0,2.0,3.0,42,13,8,8,8,27.0,0,1.0
6.0,MANUAL,1,39.0,2.0,7.0,3.0,2.0,3.0,45,13,8,8,8,27.0,0,1.0
6.0,MANUAL,2,38.0,2.0,7.0,3.0,2.0,3.0,38,13,8,8,8,27.0,0,1.0
6.0,MANUAL,3,45.0,2.0,9.0,3.0,2.0,3.0,41,13,8,8,8,27.0,0,1.0
6.0,MANUAL,4,39.0,1.0,6.0,3.0,2.0,3.0,37,13,8,8,8,27.0,0,1.0
6.0,MANUAL,6,34.0,2.0,8.0,3.0,2.0,3.0,41,13,8,8,8,27.0,0,1.0
6.0,MANUAL,7,38.0,2.0,7.0,2.0,1.0,4.0,34,13,8,8,8,27.0,0,1.0
6.0,MANUAL,8,34.0,2.0,7.0,2.0,1.0,3.0,31,13,8,8,8,27.0,0,1.0
6.0,MANUAL,9,33.0,1.0,6.0,2.0,2.0,3.0,32,13,8,8,8,27.0,0,1.0
6.0,MANUAL,10,35.0,2.0,7.0,2.0,2.0,3.0,27,13,8,8,8,27.0,0,1.0
6.0,MANUAL,11,32.0,2.0,7.0,2.0,2.0,3.0,31,13,8,8,8,27.0,0,1.0
6.0,MANUAL,12,37.0,3.0,8.0,2.0,3.0,3.0,32,13,8,8,8,27.0,0,1.0
6.0,MANUAL,13,37.0,3.0,8.0,2.0,3.0,3.0,35,13,8,8,8,27.0,0,1.0
6.0,MANUAL,14,33.0,2.0,7.0,2.0,3.0,3.0,35,13,8,8,8,27.0,0,1.0
6.0,COBOT,0,42.0,1.0,8.0,2.0,2.0,3.0,36,13,8,8,8,27.0,0,1.0
6.0,COBOT,1,41.0,1.0,7.0,2.0,2.0,3.0,41,13,8,8,8,27.0,0,1.0
6.0,COBOT,2,40.0,1.0,6.0,2.0,1.0,4.0,35,13,8,8,8,27.0,0,1.0
6.0,COBOT,3,41.0,1.0,6.0,2.0,2.0,4.0,45,13,8,8,8,27.0,0,1.0
6.0,COBOT,4,42.0,2.0,8.0,3.0,3.0,4.0,50,13,8,8,8,27.0,0,1.0
6.0,COBOT,5,47.0,2.0,9.0,3.0,3.0,4.0,50,13,8,8,8,27.0,0,1.0
6.0,COBOT,6,48.0,2.0,10.0,2.0,2.0,4.0,40,13,8,8,8,27.0,0,1.0
6.0,COBOT,7,49.0,2.0,10.0,2.0,2.0,5.0,50,13,8,8,8,27.0,0,1.0
6.0,COBOT,8,39.0,1.0,6.0,2.0,1.0,3.0,30,13,8,8,8,27.0,0,1.0
6.0,COBOT,9,43.0,1.0,7.0,2.0,1.0,3.0,33,13,8,8,8,27.0,0,1.0
6.0,COBOT,10,45.0,2.0,8.0,2.0,2.0,4.0,38,13,8,8,8,27.0,0,1.0
6.0,COBOT,11,44.0,2.0,8.0,2.0,2.0,5.0,47,13,8,8,8,27.0,0,1.0
6.0,COBOT,12,46.0,2.0,8.0,3.0,3.0,5.0,50,13,8,8,8,27.0,0,1.0
6.0,COBOT,13,44.0,3.0,8.0,3.0,3.0,5.0,46,13,8,8,8,27.0,0,1.0
6.0,COBOT,14,40.0,3.0,9.0,2.0,3.0,6.0,57,13,8,8,8,27.0,0,1.0
6.0,STROOP,0,51.0,1.0,13.0,3.0,1.0,4.0,51,13,8,8,8,27.0,0,1.0
6.0,STROOP,1,53.0,1.0,13.0,2.0,1.0,4.0,50,13,8,8,8,27.0,0,1.0
6.0,STROOP,2,32.0,1.0,6.0,3.0,1.0,1.0,38,13,8,8,8,27.0,0,1.0
6.0,STROOP,3,40.0,1.0,6.0,3.0,1.0,3.0,42,13,8,8,8,27.0,0,1.0
7.0,MANUAL,0,40.0,1.0,10.0,1.0,3.0,1.0,10,13,12,16,9,35.0,1,1.0
7.0,MANUAL,1,41.0,1.0,10.0,1.0,2.0,1.0,3,13,12,16,9,35.0,1,1.0
7.0,MANUAL,2,41.0,2.0,10.0,1.0,2.0,1.0,3,13,12,16,9,35.0,1,1.0
7.0,MANUAL,3,39.0,2.0,9.0,1.0,2.0,1.0,4,13,12,16,9,35.0,1,1.0
7.0,MANUAL,4,41.0,3.0,11.0,1.0,2.0,1.0,4,13,12,16,9,35.0,1,1.0
7.0,MANUAL,5,40.0,3.0,9.0,1.0,2.0,2.0,3,13,12,16,9,35.0,1,1.0
7.0,MANUAL,6,38.0,2.0,9.0,1.0,2.0,2.0,7,13,12,16,9,35.0,1,1.0
7.0,MANUAL,7,41.0,2.0,10.0,1.0,2.0,1.0,3,13,12,16,9,35.0,1,1.0
7.0,MANUAL,8,40.0,2.0,11.0,1.0,2.0,1.0,4,13,12,16,9,35.0,1,1.0
7.0,MANUAL,9,38.0,2.0,8.0,1.0,2.0,1.0,3,13,12,16,9,35.0,1,1.0
7.0,MANUAL,10,39.0,3.0,10.0,1.0,2.0,2.0,4,13,12,16,9,35.0,1,1.0
7.0,MANUAL,11,39.0,3.0,10.0,2.0,2.0,2.0,6,13,12,16,9,35.0,1,1.0
7.0,MANUAL,12,38.0,3.0,8.0,1.0,2.0,2.0,4,13,12,16,9,35.0,1,1.0
7.0,MANUAL,13,37.0,3.0,8.0,2.0,2.0,2.0,6,13,12,16,9,35.0,1,1.0
7.0,COBOT,0,30.0,1.0,6.0,3.0,1.0,5.0,55,13,12,16,9,35.0,1,1.0
7.0,COBOT,1,29.0,1.0,6.0,4.0,2.0,1.0,34,13,12,16,9,35.0,1,1.0
7.0,COBOT,2,32.0,1.0,6.0,4.0,5.0,1.0,72,13,12,16,9,35.0,1,1.0
7.0,COBOT,3,28.0,1.0,6.0,4.0,4.0,5.0,48,13,12,16,9,35.0,1,1.0
7.0,COBOT,4,27.0,1.0,6.0,4.0,2.0,1.0,31,13,12,16,9,35.0,1,1.0
7.0,COBOT,5,28.0,1.0,6.0,4.0,2.0,1.0,32,13,12,16,9,35.0,1,1.0
7.0,COBOT,6,27.0,1.0,6.0,4.0,1.0,1.0,25,13,12,16,9,35.0,1,1.0
7.0,COBOT,7,27.0,1.0,6.0,3.0,1.0,1.0,20,13,12,16,9,35.0,1,1.0
7.0,COBOT,8,28.0,1.0,6.0,4.0,1.0,1.0,18,13,12,16,9,35.0,1,1.0
7.0,COBOT,9,30.0,1.0,6.0,2.0,1.0,1.0,5,13,12,16,9,35.0,1,1.0
7.0,COBOT,10,29.0,1.0,6.0,2.0,1.0,1.0,7,13,12,16,9,35.0,1,1.0
7.0,COBOT,11,31.0,2.0,7.0,2.0,1.0,1.0,4,13,12,16,9,35.0,1,1.0
7.0,COBOT,12,30.0,2.0,7.0,2.0,1.0,1.0,4,13,12,16,9,35.0,1,1.0
7.0,COBOT,13,30.0,2.0,7.0,2.0,1.0,1.0,4,13,12,16,9,35.0,1,1.0
7.0,STROOP,0,41.0,1.0,10.0,3.0,5.0,1.0,40,13,12,16,9,35.0,1,1.0
7.0,STROOP,1,40.0,1.0,8.0,5.0,6.0,2.0,74,13,12,16,9,35.0,1,1.0
7.0,STROOP,2,30.0,1.0,6.0,6.0,5.0,2.0,67,13,12,16,9,35.0,1,1.0
7.0,STROOP,3,30.0,1.0,6.0,6.0,6.0,4.0,82,13,12,16,9,35.0,1,1.0
5.0,MANUAL,0,31.0,1.0,6.0,4.0,1.0,2.0,44,14,9,11,12,29.0,1,2.0
5.0,MANUAL,1,29.0,1.0,6.0,3.0,1.0,1.0,16,14,9,11,12,29.0,1,2.0
5.0,MANUAL,2,30.0,1.0,6.0,2.0,1.0,1.0,13,14,9,11,12,29.0,1,2.0
5.0,MANUAL,3,30.0,1.0,6.0,1.0,1.0,1.0,16,14,9,11,12,29.0,1,2.0
5.0,MANUAL,4,29.0,1.0,6.0,1.0,2.0,1.0,2,14,9,11,12,29.0,1,2.0
5.0,MANUAL,5,25.0,1.0,6.0,1.0,2.0,1.0,3,14,9,11,12,29.0,1,2.0
5.0,MANUAL,6,25.0,1.0,6.0,1.0,1.0,1.0,0,14,9,11,12,29.0,1,2.0
5.0,MANUAL,7,29.0,1.0,6.0,1.0,1.0,1.0,0,14,9,11,12,29.0,1,2.0
5.0,MANUAL,8,25.0,1.0,6.0,1.0,2.0,1.0,7,14,9,11,12,29.0,1,2.0
5.0,MANUAL,9,30.0,1.0,6.0,1.0,2.0,2.0,11,14,9,11,12,29.0,1,2.0
5.0,MANUAL,10,29.0,1.0,6.0,2.0,2.0,1.0,3,14,9,11,12,29.0,1,2.0
5.0,MANUAL,11,30.0,2.0,7.0,2.0,2.0,2.0,16,14,9,11,12,29.0,1,2.0
5.0,MANUAL,12,35.0,2.0,7.0,2.0,3.0,2.0,22,14,9,11,12,29.0,1,2.0
5.0,MANUAL,13,39.0,3.0,10.0,3.0,2.0,3.0,25,14,9,11,12,29.0,1,2.0
5.0,MANUAL,14,44.0,3.0,12.0,3.0,3.0,4.0,37,14,9,11,12,29.0,1,2.0
5.0,COBOT,0,30.0,1.0,6.0,2.0,1.0,1.0,25,14,9,11,12,29.0,1,2.0
5.0,COBOT,1,25.0,1.0,6.0,2.0,1.0,1.0,8,14,9,11,12,29.0,1,2.0
5.0,COBOT,2,34.0,1.0,8.0,2.0,1.0,2.0,17,14,9,11,12,29.0,1,2.0
5.0,COBOT,3,28.0,1.0,6.0,1.0,1.0,1.0,0,14,9,11,12,29.0,1,2.0
5.0,COBOT,4,25.0,1.0,6.0,1.0,1.0,1.0,0,14,9,11,12,29.0,1,2.0
5.0,COBOT,5,40.0,1.0,9.0,1.0,2.0,2.0,7,14,9,11,12,29.0,1,2.0
5.0,COBOT,6,40.0,2.0,9.0,2.0,2.0,2.0,15,14,9,11,12,29.0,1,2.0
5.0,COBOT,7,33.0,2.0,7.0,2.0,2.0,3.0,21,14,9,11,12,29.0,1,2.0
5.0,COBOT,8,30.0,1.0,6.0,1.0,1.0,1.0,3,14,9,11,12,29.0,1,2.0
5.0,COBOT,9,26.0,1.0,6.0,1.0,2.0,1.0,5,14,9,11,12,29.0,1,2.0
5.0,COBOT,10,27.0,2.0,7.0,1.0,1.0,1.0,0,14,9,11,12,29.0,1,2.0
5.0,COBOT,11,29.0,2.0,7.0,1.0,2.0,1.0,10,14,9,11,12,29.0,1,2.0
5.0,COBOT,12,33.0,2.0,7.0,1.0,2.0,1.0,5,14,9,11,12,29.0,1,2.0
5.0,COBOT,13,30.0,2.0,7.0,1.0,2.0,2.0,6,14,9,11,12,29.0,1,2.0
5.0,COBOT,14,27.0,1.0,6.0,1.0,2.0,1.0,5,14,9,11,12,29.0,1,2.0
